Genome Cluster ID,Number of Non-redundant Genomes
Cluster_1626,1
Cluster_1627,2
Cluster_1628,2
Cluster_1629,1
Cluster_163,1
Cluster_1630,3
Cluster_1631,1
Cluster_1632,4
Cluster_1633,2
Cluster_1634,1
Cluster_1635,4
Cluster_1636,2
Cluster_1637,1
Cluster_1638,1
Cluster_1639,6
Cluster_164,18
Cluster_1640,11
Cluster_1641,1
Cluster_1642,2
Cluster_1643,1
Cluster_1644,2
Cluster_1645,2
Cluster_1646,1
Cluster_1647,2
Cluster_1648,1
Cluster_1649,1
Cluster_165,1
Cluster_1650,7
Cluster_1651,2
Cluster_1652,1
Cluster_1653,6
Cluster_1654,5
Cluster_1655,5
Cluster_1656,2
Cluster_1657,1
Cluster_1658,1
Cluster_1659,2
Cluster_166,13
Cluster_1660,2
Cluster_1661,4
Cluster_1662,43
Cluster_1663,37
Cluster_1664,325
Cluster_1665,13
Cluster_1666,9
Cluster_1667,1
Cluster_1668,1
Cluster_1669,1
Cluster_167,100
Cluster_1670,2
Cluster_1671,10
Cluster_1672,29
Cluster_1673,7
Cluster_1674,133
Cluster_1675,12
Cluster_1676,8
Cluster_1677,2
Cluster_1678,5
Cluster_1679,1
Cluster_168,30
Cluster_1680,7
Cluster_1681,2
Cluster_1682,17
Cluster_1683,46
Cluster_1684,3
Cluster_1685,1
Cluster_1686,2
Cluster_1687,1
Cluster_1688,8
Cluster_1689,1
Cluster_169,1
Cluster_1690,9
Cluster_1691,2
Cluster_1692,2
Cluster_1693,1
Cluster_1694,1
Cluster_1695,1
Cluster_1696,1
Cluster_1697,2
Cluster_1698,1
Cluster_1699,2
Cluster_17,532
Cluster_170,2
Cluster_1700,1
Cluster_1701,1
Cluster_1702,1
Cluster_1703,1
Cluster_1704,1
Cluster_1705,1
Cluster_1706,1
Cluster_1707,3
Cluster_1708,1
Cluster_1709,2
Cluster_171,247
Cluster_1710,2
Cluster_1711,3
Cluster_1712,1
Cluster_1713,4
Cluster_1714,1
Cluster_1715,1
Cluster_1716,2
Cluster_1717,2
Cluster_1718,1
Cluster_1719,2
Cluster_172,19
Cluster_1720,2
