Genome Cluster ID,Number of Non-redundant Genomes
Cluster_882,4
Cluster_883,2
Cluster_884,1
Cluster_885,3
Cluster_886,5
Cluster_887,54
Cluster_888,3
Cluster_889,23
Cluster_89,78
Cluster_890,4
Cluster_891,15
Cluster_892,10
Cluster_893,4
Cluster_894,3
Cluster_895,2
Cluster_896,6
Cluster_897,1
Cluster_898,7
Cluster_899,9
Cluster_9,1
Cluster_90,80
Cluster_900,2
Cluster_901,11
Cluster_902,3
Cluster_903,9
Cluster_904,1
Cluster_905,1
Cluster_906,2
Cluster_907,15
Cluster_908,3
Cluster_909,2
Cluster_91,64
Cluster_910,1
Cluster_911,217
Cluster_912,4
Cluster_913,2
Cluster_914,12
Cluster_915,6
Cluster_916,2
Cluster_917,2
Cluster_918,1
Cluster_919,1
Cluster_92,62
Cluster_920,1
Cluster_921,3
Cluster_922,1
Cluster_923,1
Cluster_924,2
Cluster_925,1
Cluster_926,3
Cluster_927,1
Cluster_928,2
Cluster_929,67
Cluster_93,1
Cluster_930,1
Cluster_931,1
Cluster_932,4
Cluster_933,2
Cluster_934,10
Cluster_935,5
Cluster_936,6
Cluster_937,1
Cluster_938,1
Cluster_939,1
Cluster_94,33
Cluster_940,1
Cluster_941,1
Cluster_942,1
Cluster_943,1
Cluster_944,12
Cluster_945,45
Cluster_946,9
Cluster_947,185
Cluster_948,3
Cluster_949,35
Cluster_95,1
Cluster_950,1
Cluster_951,1
Cluster_952,332
Cluster_953,3
Cluster_954,156
Cluster_955,3
Cluster_956,4
Cluster_957,3
Cluster_958,2
Cluster_959,2
Cluster_96,442
Cluster_960,1
Cluster_961,1
Cluster_962,1
Cluster_963,24
Cluster_964,3
Cluster_965,1
Cluster_966,6
Cluster_967,3
Cluster_968,6
Cluster_969,2
Cluster_97,1
Cluster_970,1
Cluster_971,2
Cluster_972,57
Cluster_973,1
Cluster_974,2
Cluster_975,6
Cluster_976,20
Cluster_977,8
Cluster_978,23
Cluster_979,33
Cluster_98,1
Cluster_980,3
Cluster_981,1
Cluster_982,1
Cluster_983,2
Cluster_984,2
Cluster_985,1
Cluster_986,1
Cluster_987,2
Cluster_988,1
Cluster_989,1
Cluster_99,28
Cluster_990,3
Cluster_991,1
Cluster_992,11
Cluster_993,4
Cluster_994,1
Cluster_995,4
Cluster_996,1
Cluster_997,23
Cluster_998,1
Cluster_999,2
